Jurisdiction,Year,Measure,Unit,Quantity
QLD,2009-10,Energy productivity,$ million/PJ,262.607
QLD,2009-10,GDP,$ million,339914
QLD,2009-10,Population,Number,4404744
QLD,2010-11,Energy consumption,PJ,1249.598
QLD,2010-11,Energy consumption per capita,GJ/person,279.129
QLD,2010-11,Energy intensity,GJ/$ million,3645.321
QLD,2010-11,Energy productivity,$ million/PJ,274.324
QLD,2010-11,GDP,$ million,342795
QLD,2010-11,Population,Number,4476778
QLD,2011-12,Energy consumption,PJ,1314.818
QLD,2011-12,Energy consumption per capita,GJ/person,287.789
QLD,2011-12,Energy intensity,GJ/$ million,3624.184
QLD,2011-12,Energy productivity,$ million/PJ,275.924
QLD,2011-12,GDP,$ million,362790
QLD,2011-12,Population,Number,4568687
QLD,2012-13,Energy consumption,PJ,1334.792
QLD,2012-13,Energy consumption per capita,GJ/person,286.878
QLD,2012-13,Energy intensity,GJ/$ million,3577.007
QLD,2012-13,Energy productivity,$ million/PJ,279.563
QLD,2012-13,GDP,$ million,373159
QLD,2012-13,Population,Number,4652824
QLD,2013-14,Energy consumption,PJ,1338.862
QLD,2013-14,Energy consumption per capita,GJ/person,283.678
QLD,2013-14,Energy intensity,GJ/$ million,3517.729
QLD,2013-14,Energy productivity,$ million/PJ,284.274
QLD,2013-14,GDP,$ million,380604
QLD,2013-14,Population,Number,4719653
QLD,2014-15,Energy consumption,PJ,1436.133
QLD,2014-15,Energy consumption per capita,GJ/person,300.591
QLD,2014-15,Energy intensity,GJ/$ million,3741.704
QLD,2014-15,Energy productivity,$ million/PJ,267.258
QLD,2014-15,GDP,$ million,383818
QLD,2014-15,Population,Number,4777692
QLD,2015-16,Energy consumption,PJ,1464.555
QLD,2015-16,Energy consumption per capita,GJ/person,302.272
QLD,2015-16,Energy intensity,GJ/$ million,3726.689
QLD,2015-16,Energy productivity,$ million/PJ,268.335
QLD,2015-16,GDP,$ million,392991
QLD,2015-16,Population,Number,4845152
QLD,2016-17,Energy consumption,PJ,1531.887
QLD,2016-17,Energy consumption per capita,GJ/person,310.956
QLD,2016-17,Energy intensity,GJ/$ million,3798.758
QLD,2016-17,Energy productivity,$ million/PJ,263.244
QLD,2016-17,GDP,$ million,403260
QLD,2016-17,Population,Number,4926380
QLD,2017-18,Energy consumption,PJ,1548.429
QLD,2017-18,Energy consumption per capita,GJ/person,309.276
QLD,2017-18,Energy intensity,GJ/$ million,3692.291
QLD,2017-18,Energy productivity,$ million/PJ,270.835
QLD,2017-18,GDP,$ million,419368
QLD,2017-18,Population,Number,5006623
QLD,2018-19,Energy consumption,PJ,1529.509
QLD,2018-19,Energy consumption per capita,GJ/person,300.561
QLD,2018-19,Energy intensity,GJ/$ million,3613.425
QLD,2018-19,Energy productivity,$ million/PJ,276.746
QLD,2018-19,GDP,$ million,423285
QLD,2018-19,Population,Number,5088847
QLD,2019-20,Energy consumption,PJ,1486.306
QLD,2019-20,Energy consumption per capita,GJ/person,287.731
QLD,2019-20,Energy intensity,GJ/$ million,3551.524
QLD,2019-20,Energy productivity,$ million/PJ,281.569
QLD,2019-20,GDP,$ million,418498
QLD,2019-20,Population,Number,5165613
QLD,2020-21,Energy consumption,PJ,1442.618
QLD,2020-21,Energy consumption per capita,GJ/person,276.585
QLD,2020-21,Energy intensity,GJ/$ million,3353.701
QLD,2020-21,Energy productivity,$ million/PJ,298.178
QLD,2020-21,GDP,$ million,430157
QLD,2020-21,Population,Number,5215814
QLD,2021-22,Energy consumption,PJ,1428.315
QLD,2021-22,Energy consumption per capita,GJ/person,268.433
QLD,2021-22,Energy intensity,GJ/$ million,3145.887
QLD,2021-22,Energy productivity,$ million/PJ,317.875
QLD,2021-22,GDP,$ million,454026
QLD,2021-22,Population,Number,5320941
QLD,2022-23,Energy consumption,PJ,1441.742
QLD,2022-23,Energy consumption per capita,GJ/person,263.989
QLD,2022-23,Energy intensity,GJ/$ million,3103.324
QLD,2022-23,Energy productivity,$ million/PJ,322.235
QLD,2022-23,GDP,$ million,464580
QLD,2022-23,Population,Number,5461367
SA,2004-05,Energy consumption,PJ,355.551
SA,2004-05,Energy consumption per capita,GJ/person,231.057
SA,2004-05,Energy intensity,GJ/$ million,3826.05
SA,2004-05,Energy productivity,$ million/PJ,261.366
SA,2004-05,GDP,$ million,92929
SA,2004-05,Population,Number,1538804
SA,2005-06,Energy consumption,PJ,350.118
SA,2005-06,Energy consumption per capita,GJ/person,225.515
SA,2005-06,Energy intensity,GJ/$ million,3716.632
SA,2005-06,Energy productivity,$ million/PJ,269.061
SA,2005-06,GDP,$ million,94203
SA,2005-06,Population,Number,1552529
SA,2006-07,Energy consumption,PJ,375.46
SA,2006-07,Energy consumption per capita,GJ/person,239.053
SA,2006-07,Energy intensity,GJ/$ million,3914.553
SA,2006-07,Energy productivity,$ million/PJ,255.457
SA,2006-07,GDP,$ million,95914
SA,2006-07,Population,Number,1570619
SA,2007-08,Energy consumption,PJ,372.533
SA,2007-08,Energy consumption per capita,GJ/person,234.494
SA,2007-08,Energy intensity,GJ/$ million,3710.561
SA,2007-08,Energy productivity,$ million/PJ,269.501
SA,2007-08,GDP,$ million,100398
SA,2007-08,Population,Number,1588665
SA,2008-09,Energy consumption,PJ,357.225
SA,2008-09,Energy consumption per capita,GJ/person,222.03
SA,2008-09,Energy intensity,GJ/$ million,3463.599
SA,2008-09,Energy productivity,$ million/PJ,288.717
SA,2008-09,GDP,$ million,103137
SA,2008-09,Population,Number,1608902
SA,2009-10,Energy consumption,PJ,343.727
SA,2009-10,Energy consumption per capita,GJ/person,211.222
SA,2009-10,Energy intensity,GJ/$ million,3262.466
SA,2009-10,Energy productivity,$ million/PJ,306.517
SA,2009-10,GDP,$ million,105358
SA,2009-10,Population,Number,1627322
SA,2010-11,Energy consumption,PJ,342.809
SA,2010-11,Energy consumption per capita,GJ/person,209.079
SA,2010-11,Energy intensity,GJ/$ million,3184.215
SA,2010-11,Energy productivity,$ million/PJ,314.049
SA,2010-11,GDP,$ million,107659
SA,2010-11,Population,Number,1639614
SA,2011-12,Energy consumption,PJ,307.665
SA,2011-12,Energy consumption per capita,GJ/person,185.706
SA,2011-12,Energy intensity,GJ/$ million,2828.813
SA,2011-12,Energy productivity,$ million/PJ,353.505
SA,2011-12,GDP,$ million,108761
SA,2011-12,Population,Number,1656725
SA,2012-13,Energy consumption,PJ,356.279
SA,2012-13,Energy consumption per capita,GJ/person,213.151
SA,2012-13,Energy intensity,GJ/$ million,3251.372
SA,2012-13,Energy productivity,$ million/PJ,307.563
SA,2012-13,GDP,$ million,109578
SA,2012-13,Population,Number,1671488
SA,2013-14,Energy consumption,PJ,337.065
SA,2013-14,Energy consumption per capita,GJ/person,199.808
SA,2013-14,Energy intensity,GJ/$ million,3064.116
SA,2013-14,Energy productivity,$ million/PJ,326.358
SA,2013-14,GDP,$ million,110004
SA,2013-14,Population,Number,1686945
SA,2014-15,Energy consumption,PJ,356.925
SA,2014-15,Energy consumption per capita,GJ/person,209.874
